ALA      A    1    1   G  RID      -  -
ALA      B    2    2   S  AVEL     -  -
ALA      B    2    2   S  CEPshDL  -  -
ALA      B    3    3   S  AVEL     -  -
ALA      B    3    3   S  CEPshDL  -  -
ALA      B    4    4   R  ADLL     *  -
ALA      C    5    5   S  AVER     -  -
ALA      C    5    5   S  RMDR     -  -
ALA      C    6    6   S  AVER     -  -
ALA      C    6    6   S  CEPshVR  -  -
